AIXTEST	AIX	DCI_UNIX_Admins;DCI_Unix;NPRD	DCI_UNIX_Admins@wmata.com	8.1.26.0
CAAPFAREPRD11	AIX	Narayanan, Rajesh V.;FareCollection		8.1.24.0
CAAPPSDEV01	AIX	;PeopleSoft		8.1.24.0
CAAPPSDEV02	AIX	;PeopleSoft		8.1.24.0
CAAPPSDEV03	AIX	;PeopleSoft		8.1.24.0
CAAPPSDEV04	AIX	;PeopleSoft		8.1.24.0
CAAPPSDEV05	AIX	;PeopleSoft		8.1.24.0
CAAPPSDEV06	AIX	;PeopleSoft		8.1.24.0
CAAPPSDEV07	AIX	;PeopleSoft		8.1.24.0
CAAPPSDEV08	AIX	;PeopleSoft		8.1.24.0
CAAPPSDEV09	AIX	;PeopleSoft		8.1.24.0
CAAPPSDEV10	AIX	;PeopleSoft		8.1.24.0
CAAPPSDEV11	AIX	;PeopleSoft		8.1.24.0
CAAPPSDEV12	AIX	;PeopleSoft		8.1.24.0
CAAPPSPRD01	AIX	;PeopleSoft		8.1.24.0
CAAPPSPRD02	AIX	;PeopleSoft		8.1.24.0
CAAPPSPRD03	AIX	;PeopleSoft		8.1.24.0
CAAPPSPRD04	AIX	;PeopleSoft		8.1.24.0
CAAPPSPRD05	AIX	;PeopleSoft		8.1.24.0
CAAPPSPRD06	AIX	;PeopleSoft		8.1.24.0
CAAPPSPRD07	AIX	;PeopleSoft		8.1.24.0
CADBBUSDR10	AIX	;BUS		8.1.24.0
CADBCGNDEV01	AIX	;Cognos		8.1.24.0
CADBCGNDR01	AIX	;Cognos		8.1.24.0
CADBFAREDEV01	AIX	;FareGate		8.1.24.0
CADBFAREDR21	AIX	;FareGate		8.1.24.0
CADBIAMDEV01	AIX	;DMCS		8.1.24.0
CADBMAXPRD03	AIX	;Maximo		8.1.24.0
CADBPSDR01	AIX	;PeopleSoft		8.1.24.0
CADBPSDR02	AIX	;PeopleSoft		8.1.24.0
CADBTRPDR01	AIX	;Trapeze		8.1.24.0
ISPLC01	AIX	DCI_Backup_Admins;DCI_Backup	DCI_Backup_Admins@wmata.com	8.1.26.0
ISPLC01DRREP	AIX	DCI_Backup_Admins	DCI_Backup_Admins@wmata.com	8.1.26.0
ISPLC02	AIX	DCI_Backup_Admins;DCI_Backup	DCI_Backup_Admins@wmata.com	8.1.26.0
ISPLC02DRREP	AIX	DCI_Backup_Admins	DCI_Backup_Admins@wmata.com	8.1.26.0
JAAPFAREPRD03	AIX	Narayanan, Rajesh V.;FareCollection		8.1.24.0
JAAPFAREPRD12	AIX	Narayanan, Rajesh V.;FareCollection		8.1.24.0
JAAPPSPRD01	AIX	;PeopleSoft		8.1.24.0
JAAPPSPRD02	AIX	;PeopleSoft		8.1.24.0
JAAPPSPRD03	AIX	;PeopleSoft		8.1.24.0
JAAPPSPRD04	AIX	;PeopleSoft		8.1.24.0
JAAPPSPRD05	AIX	;PeopleSoft		8.1.24.0
JAAPPSPRD06	AIX	;PeopleSoft		8.1.24.0
JAAPPSPRD07	AIX	;PeopleSoft		8.1.24.0
JADBCGNPRD01	AIX	;Cognos		8.1.24.0
JADBELMPRD01	AIX	;PeopleSoft		8.1.24.0
P590A1	AIX	;BUS		8.1.24.0
P590A10	AIX	;BUS		8.1.24.0
P590A6	AIX	Narayanan, Rajesh V.;FareCollection		8.1.24.0
P590B1	AIX	;Trapeze		8.1.24.0
P590B10	AIX	Narayanan, Rajesh V.;FareCollection		8.1.24.0
P590B3	AIX	Narayanan, Rajesh V.;FareCollection		8.1.24.0
P590B6	AIX	Narayanan, Rajesh V.;FareCollection		8.1.24.0
P595A13	AIX	;OEM		8.1.24.0
P595A27	AIX	;PeopleSoft		8.1.24.0
P595A29	AIX	;PeopleSoft		8.1.24.0
P595B13	AIX	;OEM		8.1.24.0
P595B29	AIX	;PeopleSoft		8.1.24.0
P595B30	AIX	;PeopleSoft		8.1.24.0
P595B32	AIX	;PeopleSoft		8.1.24.0
P595B33	AIX	;PeopleSoft		8.1.24.0
P595B34	AIX	;PeopleSoft		8.1.24.0
P595NIMCTF	AIX	DCI_UNIX_Admins;DCI_Unix	DCI_UNIX_Admins@wmata.com	8.1.24.0
P650NIMJGB	AIX	;DCI_Unix		8.1.24.0
P770A21	AIX	Narayanan, Rajesh V.;FareCollection	IT-DBA2@wmata.com	8.1.24.0
P770ADOC3	AIX	Narayanan, Rajesh V.;FareCollection		8.1.24.0
CTISPBKPNFS1PV	Linux x86-64	DCI_Backup_Admins;DCI_Backup	DCI_Backup_Admins@wmata.com	8.1.24.0
CTSANNAV1LPV	Linux x86-64	DCI SAN Admins;DCI_SAN	DCI_SAN_Admins@wmata.com	8.1.26.0
CTSTMGTGATE1LPV	Linux x86-64	ITIO_FaregateLinuxadmins;FareGate	ITIO_FaregateLinuxadmins@wmata.com	8.1.26.0
CTX2DBADM01	Linux x86-64	IT-DBA;PeopleSoft	IT-DBA2@wmata.com	8.1.24.0
CTX2DBADM02	Linux x86-64	IT-DBA;PeopleSoft	DBA2@wmata.com	8.1.24.0
CTX2DBADM03	Linux x86-64	IT-DBA;PeopleSoft	IT-DBA2@wmata.com	8.1.24.0
CTX2DBADM04	Linux x86-64	IT-DBA;PeopleSoft	IT-DBA2@wmata.com	8.1.24.0
CTX3DBADM01	Linux x86-64	IT-DBA;PeopleSoft	IT-DBA2@wmata.com	8.1.24.0
CTX3DBADM02	Linux x86-64	IT-DBA;PeopleSoft	IT-DBA2@wmata.com	8.1.24.0
CTX3DBADM03	Linux x86-64	IT-DBA;PeopleSoft	IT-DBA2@wmata.com	8.1.24.0
CTX3DBADM04	Linux x86-64	IT-DBA;PeopleSoft	IT-DBA2@wmata.com	8.1.24.0
CTX4DBADM01	Linux x86-64	Narayanan, Rajesh V.;FareCollection	IT-DBA2@wmata.com	8.1.24.0
CTX4DBADM02	Linux x86-64	Narayanan, Rajesh V.;FareCollection	IT-DBA2@wmata.com	8.1.24.0
CTX4DBADM03	Linux x86-64	Narayanan, Rajesh V.;FareCollection	IT-DBA2@wmata.com	8.1.24.0
CTX4DBADM04	Linux x86-64	Narayanan, Rajesh V.;FareCollection	IT-DBA2@wmata.com	8.1.24.0
C_DCI_UNIX_SUDO	Linux x86-64	DCI_UNIX_Admins;DCI_Unix	DCI_UNIX_Admins@wmata.com	8.1.24.0
C_EAHDP	Linux x86-64	Enterprise Architecture;EA	ITEA@wmata.com	8.1.24.0
C_EA_SOADEV1	Linux x86-64	ITEA_SOA_APP_Support;SOA	ITEA_SOA_APP_Support@wmata.com	8.1.24.0
C_EA_SOADEV2	Linux x86-64	ITEA_SOA_APP_Support;SOA	ITEA_SOA_APP_Support@wmata.com	8.1.24.0
C_EA_SOADEV3	Linux x86-64	ITEA_SOA_APP_Support;SOA	ITEA_SOA_APP_Support@wmata.com	8.1.24.0
C_EA_SOADEV4	Linux x86-64	ITEA_SOA_APP_Support;SOA	ITEA_SOA_APP_Support@wmata.com	8.1.24.0
C_FCS_APPDATA_QA	Linux x86-64	FareCollection_Support;FareGate	farecollection_support@wmata.com	8.1.24.0
C_FCS_APP_QA	Linux x86-64	FareCollection_Support;FareGate	farecollection_support@wmata.com	8.1.24.0
